ids,street,locale
060376513022_060376513023,Vía Valmonte,Torrance
060376513023_060376513024,Vía Colusa,Redondo Beach
060376513023_060376703241,Vía Valmonte,Torrance
060376513023_060376703242,Boundary Trail,Torrance
060376513023_060376703244,Torrance Utility Road,Palos Verdes Estates
060376513023_060376514023,Vía Valmonte,Torrance
060376513021_060376513022,Newton Street,Torrance
060376513022_060376513024,Vía Los Miradores,Redondo Beach
060376513022_060376514022,Newton Street,Torrance
060376513022_060376514023,Vía Valmonte,Torrance
060376513022_060376513045,Calle Mayor,Torrance
060376513021_060376514022,Newton Street,Torrance
060376512011_060376513021,Calle Mayor,Torrance
060376512222_060376513021,Ocean Avenue,Torrance
060376512221_060376513021,Anza Avenue,Torrance
060376513021_060376513045,Calle Mayor,Torrance
060375009001_060375009002,Mines Avenue,Pico Rivera
060375008001_060375009002,Cord Avenue,Pico Rivera
060375008003_060375009002,Mines Avenue,Pico Rivera
060375008004_060375009002,Mines Avenue,Pico Rivera
060375009002_060375009003,Passons Boulevard,Pico Rivera
060376513025_060376513026,Boundary Trail,Palos Verdes Estates
060376513026_060376703243,Torrance Utility Road,Palos Verdes Estates
060376513026_060376703244,Torrance Utility Road,Palos Verdes Estates
060376513026_060376513044,Calle Mayor,Redondo Beach
060376513026_060376513043,Palos Verdes Boulevard,Redondo Beach
060376513024_060376513025,Boundary Trail,Redondo Beach
060376513025_060376703244,Boundary Trail,Palos Verdes Estates
060376513025_060376513045,Calle Mayor,Redondo Beach
060376513025_060376513044,Calle Mayor,Redondo Beach
060375004022_060375009001,Whittier Boulevard,Pico Rivera
060375004021_060375009001,Whittier Boulevard,Whittier
060375008001_060375009001,Mines Avenue,Pico Rivera
060375009001_060375010011,San Gabriel River Mid Trail,Whittier
060375004031_060375009001,Whittier Boulevard,Whittier
060375009001_060375022001,San Gabriel River Mid Trail,Whittier
060375009001_060375009004,Whittier Boulevard,Pico Rivera
060375009001_060375009003,Passons Boulevard,Pico Rivera
060374631021_060374631023,East Del Mar Boulevard,Pasadena
060374629003_060374631021,Sierra Madre Villa Avenue,Pasadena
060374631011_060374631021,South Rosemead Boulevard,Pasadena
060374630002_060374631021,North Rosemead Boulevard,Pasadena
060374631021_060374632001,South Kinneloa Avenue,Pasadena
060374631022_060374631023,San Pasqual Street,Pasadena
060374631022_060374800022,Sunnyslope Drive,San Gabriel
060374631022_060374800021,North San Gabriel Boulevard,San Gabriel
060374631022_060374642001,South San Gabriel Boulevard,San Marino
060374631022_060374642002,South San Gabriel Boulevard,Pasadena
060374631022_060374642003,North San Gabriel Boulevard,San Gabriel
060374631012_060374631022,South Rosemead Boulevard,East San Gabriel
060374631022_060374800112,East Huntington Drive,San Gabriel
060374631022_060374800111,South Rosemead Boulevard,East San Gabriel
060374631022_060374632002,San Pasqual Street,Pasadena
060374631022_060374632001,San Pasqual Street,Pasadena
060374631011_060374631023,South Rosemead Boulevard,Pasadena
060374631012_060374631023,San Pasqual Street,Pasadena
060374631023_060374632002,San Pasqual Street,Pasadena
060374631023_060374632001,Oneida Drive,Pasadena
060371244002_060371249021,Whitsett Avenue,Los Angeles
060371240001_060371249021,Whitsett Avenue,Los Angeles
060371249021_060371251002,Laurel Canyon Boulevard,Los Angeles
060371244003_060371249021,Whitsett Avenue,Los Angeles
060371249021_060371249031,Whitsett Avenue,Los Angeles
060371249021_060371249032,Hermitage Avenue,Los Angeles
060371238002_060371249021,Laurel Canyon Boulevard,Los Angeles
060371239022_060371249021,Laurel Canyon Boulevard,Los Angeles
060371249021_060371251001,Laurel Canyon Boulevard,Los Angeles
060375356072_060375356073,Seminole Avenue,South Gate
060375356071_060375356072,Tweedy Boulevard,South Gate
060375356072_060375356074,Sequoia Drive,South Gate
060375356072_060375402011,State Street,South Gate
060375356072_060375402012,State Street,South Gate
060375356052_060375356072,Tweedy Boulevard,South Gate
060375356073_060375356074,Pescadero Avenue,South Gate
060375356073_060375403004,State Street,South Gate
060375356073_060375403002,Martin Luther King Junior Boulevard,South Gate
060375356073_060375402011,State Street,South Gate
060375356073_060375402012,Century Boulevard,South Gate
060375356071_060375356074,Seminole Avenue,South Gate
060375356071_060375403001,Alameda Street,South Gate
060375354003_060375356071,Tweedy Boulevard,South Gate
060375356061_060375356071,Tweedy Boulevard,South Gate
060375356052_060375356071,Tweedy Boulevard,South Gate
060375352002_060375352003,Success Avenue,Los Angeles
060372420003_060375352003,East 103rd Street,Los Angeles
060372423003_060375352003,East 103rd Street,Los Angeles
060372407001_060375352003,South Central Avenue,Los Angeles
060372420001_060375352003,East 103rd Street,Los Angeles
060372423001_060375352003,East 96th Street,Los Angeles
060375352001_060375352002,Compton Avenue,Florence-Graham
060372400203_060375352002,East 90th Street,Los Angeles
060372407001_060375352002,East 92nd Street,Los Angeles
060372423001_060375352002,Success Avenue,Los Angeles
060375356074_060375403001,Santa Fe Avenue,South Gate
060375356074_060375403002,Martin Luther King Junior Boulevard,South Gate
060372431001_060372431002,East 112th Street,Los Angeles
060372431001_060372431003,East 112th Street,Los Angeles
060372430001_060372431001,Santa Ana Boulevard North,Los Angeles
060372430004_060372431001,Mona Boulevard,Los Angeles
060372427001_060372431001,Wilmington Avenue,Los Angeles
060372427002_060372431001,Wilmington Avenue,Los Angeles
060372431001_060375404001,Mona Boulevard,Los Angeles
060372431001_060375404002,Mona Boulevard,Los Angeles
060371912031_060371912032,Lexington Avenue,Los Angeles
060371912012_060371912031,North Vermont Avenue,Los Angeles
060371912031_060371913021,Lexington Avenue,Los Angeles
060371912031_060371913022,North Vermont Avenue,Los Angeles
060371912031_060371912041,Fountain Avenue,Los Angeles
060371912031_060371913012,Lexington Avenue,Los Angeles
060371912032_060371913021,Lexington Avenue,Los Angeles
060371912032_060371912041,Lexington Avenue,Los Angeles
060371912032_060371914101,Santa Monica Boulevard,Los Angeles
060371912032_060371915001,North Heliotrope Drive,Los Angeles
060371912032_060371915002,Santa Monica Boulevard,Los Angeles
060371912032_060371913012,Santa Monica Boulevard,Los Angeles
060372044101_060372044102,South Cummings Street,Los Angeles
060372044102_060372046002,East 4th Street,Los Angeles
060372036003_060372044102,East Cesar E Chavez Avenue,Los Angeles
060372044102_060372044201,North Saint Louis Street,Los Angeles
060372044102_060372044202,East 4th Street,Los Angeles
060372044101_060372060322,South State Street,Los Angeles
060372044101_060372046002,East 4th Street,Los Angeles
060372044101_060372060501,South State Street,Los Angeles
060372036003_060372044101,East Cesar E Chavez Avenue,Los Angeles
060372035003_060372044101,North State Street,Los Angeles
060372035001_060372044101,Christopher Columbus Transcontinental Highway,Los Angeles
060374801011_060374801012,Hermosa Drive,Temple City
060374801011_060374801013,Longden Avenue,Temple City
060374800122_060374801011,Oak Avenue,Temple City
060374318003_060374801011,Oak Avenue,Temple City
060374319003_060374801011,Encinita Avenue,Temple City
060374801012_060374801013,Hermosa Drive,Temple City
060374801012_060374812011,Sultana Avenue,Temple City
060374801012_060374812013,East Las Tunas Drive,San Gabriel
060374320005_060374801012,Encinita Avenue,Temple City
060374801012_060374801021,East Hermosa Drive,San Gabriel
060374801012_060374801022,Tree Rose Terrace,San Gabriel
060374801012_060374812021,East Las Tunas Drive,San Gabriel
060374319003_060374801012,Encinita Avenue,Temple City
060374800022_060374801013,Longden Avenue,San Gabriel
060374800123_060374801013,Longden Avenue,San Gabriel
060374800122_060374801013,Longden Avenue,Temple City
060374801013_060374801021,Longden Avenue,San Gabriel
060376200012_060376200013,East Palm Avenue,El Segundo
060376200011_060376200013,East Oak Avenue,El Segundo
060376200013_060376201011,Imperial Highway,Los Angeles
060376200013_060379800281,California Street,Los Angeles
060376200011_060376200012,East Maple Avenue,El Segundo
060376200012_060376201011,East Palm Avenue,El Segundo
060376200012_060376201021,East Mariposa Avenue,El Segundo
060376200012_060376200022,East Mariposa Avenue,El Segundo
060376200012_060376200023,East Mariposa Avenue,El Segundo
060376200012_060379800131,East Mariposa Avenue,El Segundo
060376200011_060379800281,Imperial Highway,El Segundo
060376200011_060379800131,East Maple Avenue,El Segundo
060376704031_060376704051,Indian Peak Road,Rolling Hills Estates
060376704031_060376705001,Crenshaw Boulevard,Rancho Palos Verdes
060376702021_060376704031,Chadwick Trail,Rolling Hills Estates
060376704031_060376704112,Hawthorne Boulevard,Rolling Hills Estates
060376702011_060376704031,Crenshaw Boulevard,Palos Verdes Peninsula
060376704031_060376704111,Hawthorne Boulevard,Rancho Palos Verdes
060372123061_060372123062,West 8th Street,Los Angeles
060372122032_060372123061,West 8th Street,Los Angeles
060372123061_060372134012,Vermont Avenue,Los Angeles
060372123061_060372133202,South Berendo Street,Los Angeles
060372123031_060372123061,West 8th Street,Los Angeles
060372122022_060372123061,South Vermont Avenue,Los Angeles
060372123061_060372133201,San Marino Street,Los Angeles
060372123041_060372123062,West 8th Street,Los Angeles
060372123062_060372133202,San Marino Street,Los Angeles
060372123051_060372123062,West 8th Street,Los Angeles
060372123031_060372123062,West 8th Street,Los Angeles
060372123062_060372133101,South Kenmore Avenue,Los Angeles
060375421062_060375421063,East Myrrh Street,Compton
060375421061_060375421062,South Frailey Avenue,East Compton
060375421053_060375421062,South White Avenue,East Compton
060375421052_060375421062,South White Avenue,East Compton
060375421062_060375422001,Atlantic Avenue,Compton
060375421062_060375422003,East Alondra Boulevard,Compton
060375421061_060375421063,East Myrrh Street,Compton
060375421033_060375421063,East Compton Boulevard,East Compton
060375421053_060375421063,South White Avenue,East Compton
060375421052_060375421063,South White Avenue,East Compton
060375421042_060375421063,South Lime Avenue,East Compton
060375421061_060375422001,South Frailey Avenue,East Compton
060375421061_060375537021,Hunsaker Avenue,Paramount
060375421061_060375538023,Alondra Boulevard,Paramount
060375421041_060375421061,Long Beach Freeway,Compton
060375421042_060375421061,Somerset Boulevard,Compton
